Date,Name,Ratings,Dugan Ratings,Name.1,Year,Name.2,Review,Name.3,Liked
06/20/2023,(500) Days of Summer,4.0,8.0,(500) Days of Summer,2009,10 Things I Hate About You,That was a really confusing way for Joey to gift Kat a guitar,(500) Days of Summer,Yes
07/08/2025,10 Things I Hate About You,3.5,7.0,10 Things I Hate About You,1999,12 Angry Men,"Ranking Angry Men:
 #7 No one cares about your baseball game, did help with the fan though 
#10 Racist :(, was the reason for the best scene though 
#1 Ain’t no way you keep everything cordial but have no talking points the entire time??
#2 Gives sidekick energy, called racist man friend 
#12 Loves talking about his corporate job, has a nice story arch though
#5 Mid tier, gonna be the only one I forget from this movie 
#3 Maybe beats son :(, but has the best performance by far (So angry) 
#8 Observant about glasses, very cute grandpa 
#7 Likes to say “I don’t know”, but is the reason for the movie 
#6 Want to grab a beer with him, has my favorite line of the movie 
#4 Maybe sweats?, convinced this is how my rationale would go if I was there 
#11 goated, tells baseball man he sucks :)",10 Things I Hate About You,Yes
01/14/2024,BlackBerry,4.5,9.0,American Gigolo,1980,Conan the Barbarian,The Northman if it had more camel being punched,Dune: Part Two,Yes
07/07/2023,Blood & Gold,4.0,8.0,Amsterdam,2022,Conclave,Kinda hope every pope picking is this petty,Dungeons & Dragons: Honor Among Thieves,Yes
01/14/2026,Blue Moon,2.0,4.0,Amélie,2001,Daisies,There’s nothing here *cue John travolta looking around in pulp fiction,Everybody Wants Some!!,Yes
04/30/2025,Blue Ruin,3.0,6.0,Animal Kingdom,2010,Date Movie,An hour and a half ytp,F1,Yes
08/06/2021,Bo Burnham: Inside,4.5,9.0,Anna and the Apocalypse,2017,Dazed and Confused,"Didn’t hit as hard as Everybody Wants Some, maybe cause this wasn’t high school for me at all. 
But I do love seeing douche Ben Affleck, it just comes so natural to him for some reason",Face/Off,Yes
05/14/2025,Bo Burnham: The Inside Outtakes,4.0,8.0,Annie Hall,1977,Death of a Unicorn,"Paul Rudd’s character is the worst “flawed” dad in a movie since Chicken Little. However, somehow the biggest sin is how you get NoHo Hank in your movie and waste him",Forrest Gump,Yes
01/29/2026,Bob Trevino Likes It,4.0,8.0,Anora,2024,DodgeBall: A True Underdog Story,Any movie that Ben Stiller is playing the straight man is an injustice,Fritz the Cat,Yes
04/27/2021,Bohemian Rhapsody,2.5,5.0,Ant-Man,2015,Dog Day Afternoon,"Mannnn this Al Pacino guy is good, hope to see him in more stuff",From Up on Poppy Hill,Yes
03/07/2025,Bone Tomahawk,4.0,8.0,Ant-Man and the Wasp,2018,Don't Look in the Basement,Eyes were feeling real heavy after only 15 minutes. Also this movie hates people with disabilities so that sucks,Get Out,Yes
04/27/2021,Booksmart,4.0,8.0,Aquaman,2018,Don't Worry Darling,He CHOSE to be British?? Honestly that alone is the scariest thing in the entire movie,Go,Yes
07/29/2025,Boxcar Bertha,1.5,3.0,Arcadian,2024,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,All cause a general had weird sex,Godzilla vs. Kong,Yes
09/16/2024,Boy Kills World,2.5,5.0,Arrival,2016,Drive-Away Dolls,They should make a Sukie and Curlie spin-off buddy cop movie.,Good Will Hunting,Yes
10/25/2025,Braindead,3.0,6.0,Arthur Christmas,2011,Duck Soup,The “Dugan only watches ancient movies” propaganda gonna love this one,GoodFellas,Yes
10/22/2025,Bram Stoker's Dracula,2.5,5.0,Astro Boy,2009,Edward Scissorhands,"Everyone look up Anthony Michael Hall on IMDB right now, proof of perfect casting right there. Something mischievous in those eyes",Greedy People,Yes
01/08/2026,Bugonia,3.0,6.0,Atlantis: The Lost Empire,2001,Elio,"A pretty dull watch apart from Glordon and Elio’s friendship, reminded me of the best parts of Luca",Guardians of the Galaxy,Yes
05/16/2024,Bullet Train,3.5,7.0,Attack the Block,2011,Emilia Pérez,Would go up an entire star if someone edited out every music number,Guardians of the Galaxy Vol. 3,Yes
02/11/2024,Burn After Reading,3.0,6.0,Avatar,2009,Everybody Wants Some!!,"Simply a good time, can’t wait to watch again sometime in May. Could be a little funnier or more time with Jake and Beverly, but worth a watch",Harry Potter and the Goblet of Fire,Yes
06/28/2025,But I'm a Cheerleader,3.5,7.0,Avengers: Age of Ultron,2015,F1,Kosinski could make a Zamboni race look cool as shit,Heat,Yes
06/20/2023,CODA,4.0,8.0,Avengers: Endgame,2019,Face/Off,"An absolute tragedy the casting Oscar wasn’t a thing in 1997, it peaked",Hell or High Water,Yes
02/17/2025,Captain America: Brave New World,2.0,4.0,Avengers: Infinity War,2018,Five Corners,"Absolute shit-show of storytelling, characters have a combined 10 IQ",Hereditary,Yes
04/27/2021,Captain America: Civil War,4.0,8.0,Awakenings,1990,Flora and Son,Very charming but surprisingly just meh music compared to Carney’s other movies,Hit Man,Yes
04/27/2021,Captain America: The First Avenger,2.5,5.0,Baby Driver,2017,Flow,"The calmest movie I’ve ever seen, also would kill anyone that looks funny at capybara",Hocus Pocus,Yes
04/27/2021,Captain America: The Winter Soldier,5.0,10.0,Babylon,2022,Four Christmases,I strive to be as good at taboo as Jon Favreau,Honey Boy,Yes
08/08/2025,Cars,3.0,6.0,Bachelor Party,1984,Frankenstein,"Maybe 3.5? Idk yet. Very good performances, but it just didn’t connect with me. Also the rumors of it sweeping the technical Oscar’s is insane to me",How the Grinch Stole Christmas,Yes
06/20/2023,Cast Away,3.0,6.0,Bad Education,2019,Frankie Freako,My dad is banned from picking movies for awhile,Hundreds of Beavers,Yes
08/05/2025,Castle in the Sky,3.5,7.0,Bad Santa,2003,Freaky Tales,Tom Hanks cameo is so peak🥹,Hunt for the Wilderpeople,Yes
06/04/2025,Cha Cha Real Smooth,4.5,9.0,Ballad of a Small Player,2025,Fritz the Cat,"Can’t believe this had something interesting to say about radical ideology, too bad it’s padded out with long sex scenes inbetween",Hustle,Yes
10/25/2025,Chainsaw Man – The Movie: Reze Arc,4.0,8.0,Bambi,1942,From Dusk Till Dawn,You’re telling me nobody else could’ve played that part?? Tarantino a freak,I'm Still Here,Yes
06/12/2023,Champions,2.0,4.0,Barbie,2023,From Up on Poppy Hill,The kind of gorgeous animation that makes me avoid live action for a week,If I Had Legs I'd Kick You,Yes
02/18/2025,Chiefsaholic: A Wolf in Chiefs Clothing,3.0,6.0,Barnyard,2006,Full Metal Jacket,"First half, 9 or 9.5 out of 10.. too bad that second half is like a 5 and makes it feel like a 3 hour movie.",Ilsa: Harem Keeper of the Oil Sheiks,Yes
10/23/2025,Children Shouldn't Play with Dead Things,1.0,2.0,Batman,1989,Go,If Gregg Araki made Pulp Fiction,Inglourious Basterds,Yes
10/01/2025,Chinatown,4.0,8.0,Batman & Robin,1997,God Help the Girl,"I cannot stand James, a twink that can’t sing or act, thank god he gets nothing. Give these songs a better set of characters please",Inside Out,Yes
